sents,topics,sentiments
slide giáo trình đầy đủ .,1,2
"nhiệt tình giảng dạy , gần gũi với sinh viên .",0,2
đi học đầy đủ full điểm chuyên cần .,1,0
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",0,2
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",0,2
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",3,1
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",1,0
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",1,0
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,1,0
thầy rất tận tình và đi dạy rất đúng giờ .,0,2
dễ bị áp lực .,3,0
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",0,1
môn học còn dễ cần nâng độ khó lên nữa .,1,0
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",1,0
hài lòng về tất cả .,3,2
"nhiệt tình , vui vẻ .",0,2
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,0,2
phong cách giảng bài của thầy rất gần gũi với sinh viên !,0,2
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,0,2
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,1,0
tiết học thoải mái .,0,2
"thầy nhiệt tình , quan tâm tới sinh viên .",0,2
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",0,2
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",1,0
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,1,2
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0
nên biên soạn một tài liệu của chính trường ta .,1,0
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,0
"bài tập đa dạng , cụ thể .",1,2
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",1,0
slide up đầy đủ trước mỗi buổi học .,1,2
"nội dung giảng dạy quá nhàm chán , khô khan .",1,0
lượng kiến thức quá nhiều trong một học kỳ .,1,0
thầy chép bảng nhiều .,0,0
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",0,2
"chúc các thầy cô , anh chị làm việc vui vẻ !",3,2
"hay , nhiệt tình , dễ hiểu .",0,2
